epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2328,1.80883,2.94809,1.43944,0.02444,0.85714,0.13233,0.05502,1.7338,3.15653,1.23496,0.00024,0.00024,0.00024
2,60.489,1.80899,1.95612,1.3862,0.32336,0.44156,0.31161,0.1418,1.77523,2.68389,1.22759,0.0004901,0.0004901,0.0004901
3,104.034,1.75134,1.77224,1.37219,0.33563,0.31169,0.24969,0.11987,1.79928,2.77074,1.35106,0.000729904,0.000729904,0.000729904
4,144.431,1.6465,1.61176,1.32281,0.36775,0.24675,0.28663,0.15209,1.76995,2.30317,1.34666,0.000959412,0.000959412,0.000959412
5,184.211,1.66034,1.57592,1.34735,0.67224,0.37297,0.43291,0.21098,1.7748,2.06309,1.34137,0.00117862,0.00117862,0.00117862
6,222.988,1.66794,1.56806,1.36534,0.58397,0.45455,0.44836,0.20811,1.80708,1.98037,1.31262,0.00138754,0.00138754,0.00138754
7,262.583,1.70906,1.53993,1.36671,0.53136,0.49351,0.45902,0.20821,1.88937,1.91254,1.37851,0.00158616,0.00158616,0.00158616
8,303.53,1.65365,1.5141,1.36387,0.56329,0.50649,0.48588,0.23819,1.8294,1.83662,1.36442,0.0017228,0.0017228,0.0017228
9,343.759,1.59332,1.50789,1.36156,0.30545,0.49351,0.32129,0.15524,1.78027,2.06703,1.41066,0.0016832,0.0016832,0.0016832
10,384.691,1.6776,1.5423,1.39061,0.39058,0.49944,0.33464,0.15081,1.87796,2.05549,1.51815,0.0016436,0.0016436,0.0016436
11,425.756,1.62659,1.38627,1.32798,0.66797,0.61039,0.65351,0.32415,1.78112,1.51956,1.41621,0.001604,0.001604,0.001604
12,465.7,1.60428,1.36942,1.30781,0.74198,0.74026,0.75448,0.33934,1.89196,1.42522,1.44706,0.0015644,0.0015644,0.0015644
13,506.809,1.55684,1.33996,1.28635,0.85447,0.61005,0.745,0.35275,1.843,1.40649,1.43476,0.0015248,0.0015248,0.0015248
14,555.279,1.57562,1.4099,1.32437,0.64529,0.64935,0.66101,0.32249,1.74461,1.49978,1.40689,0.0014852,0.0014852,0.0014852
15,597.992,1.55929,1.33031,1.29632,0.73684,0.69092,0.72044,0.36059,1.76666,1.43588,1.40639,0.0014456,0.0014456,0.0014456
16,639.852,1.51251,1.27375,1.26194,0.86165,0.68831,0.78229,0.38735,1.71611,1.40999,1.38382,0.001406,0.001406,0.001406
17,682.258,1.48022,1.20851,1.26431,0.84121,0.688,0.76036,0.38865,1.70341,1.25171,1.35543,0.0013664,0.0013664,0.0013664
18,721.651,1.50074,1.27915,1.28981,0.81003,0.71996,0.80474,0.41329,1.68637,1.27381,1.32141,0.0013268,0.0013268,0.0013268
19,762.292,1.46081,1.23517,1.22804,0.78615,0.76623,0.81516,0.43497,1.60895,1.22395,1.26644,0.0012872,0.0012872,0.0012872
20,810.623,1.43772,1.22263,1.2133,0.80195,0.78884,0.83433,0.41807,1.61156,1.17624,1.29933,0.0012476,0.0012476,0.0012476
21,850.372,1.39908,1.11923,1.2063,0.87596,0.72727,0.83562,0.41934,1.62842,1.17064,1.30867,0.001208,0.001208,0.001208
22,889.612,1.42517,1.17874,1.23512,0.81689,0.80519,0.8451,0.45573,1.60621,1.14759,1.29745,0.0011684,0.0011684,0.0011684
23,929.35,1.43565,1.25841,1.26804,0.82403,0.79064,0.8578,0.46881,1.57662,1.1508,1.28567,0.0011288,0.0011288,0.0011288
24,968.189,1.30603,1.12095,1.18564,0.82293,0.78467,0.86656,0.46515,1.58913,1.18001,1.27821,0.0010892,0.0010892,0.0010892
25,1007.77,1.35698,1.13064,1.1694,0.8308,0.76521,0.85611,0.46137,1.57131,1.13764,1.27759,0.0010496,0.0010496,0.0010496
26,1047.5,1.37438,1.12754,1.19727,0.81214,0.85714,0.86169,0.47402,1.53941,1.09965,1.25407,0.00101,0.00101,0.00101
27,1089.84,1.35074,1.09454,1.17189,0.83261,0.83984,0.88597,0.47476,1.52978,1.02114,1.23806,0.0009704,0.0009704,0.0009704
28,1130.31,1.3616,1.13535,1.18499,0.86884,0.83117,0.88645,0.48162,1.50561,1.01735,1.22434,0.0009308,0.0009308,0.0009308
29,1171.56,1.33263,1.10369,1.17646,0.8373,0.88312,0.88329,0.4782,1.51144,1.02016,1.22108,0.0008912,0.0008912,0.0008912
30,1210.31,1.314,1.13541,1.19287,0.8424,0.83301,0.88059,0.47117,1.53193,1.01715,1.22678,0.0008516,0.0008516,0.0008516
31,1249.58,1.32169,1.07105,1.17244,0.82783,0.8118,0.87382,0.48541,1.49971,1.07594,1.23812,0.000812,0.000812,0.000812
32,1291.1,1.33455,1.1754,1.19297,0.87068,0.77922,0.87236,0.47229,1.51438,1.08064,1.24274,0.0007724,0.0007724,0.0007724
33,1331.74,1.29549,1.1285,1.18174,0.82626,0.79221,0.86623,0.47708,1.5271,1.07612,1.2341,0.0007328,0.0007328,0.0007328
34,1374.4,1.25218,1.01348,1.14643,0.85867,0.7891,0.8661,0.48539,1.49418,1.06829,1.2275,0.0006932,0.0006932,0.0006932
35,1415.05,1.21638,1.031,1.13745,0.83387,0.84745,0.87074,0.49563,1.47439,1.02847,1.2272,0.0006536,0.0006536,0.0006536
36,1461.29,1.28242,1.09949,1.15726,0.86428,0.82708,0.86401,0.48819,1.45306,0.99711,1.20583,0.000614,0.000614,0.000614
37,1504.6,1.25331,1.08992,1.14094,0.86283,0.81695,0.87073,0.48289,1.46243,0.9878,1.20931,0.0005744,0.0005744,0.0005744
38,1549.97,1.24541,1.03759,1.12479,0.88516,0.80087,0.86943,0.48154,1.46212,1.01953,1.20216,0.0005348,0.0005348,0.0005348
39,1597.87,1.24019,1.02702,1.13628,0.85866,0.79221,0.85277,0.47911,1.45278,1.04693,1.20936,0.0004952,0.0004952,0.0004952
40,1643.18,1.24109,1.00771,1.12752,0.83868,0.77922,0.85313,0.48135,1.45415,1.04553,1.21335,0.0004556,0.0004556,0.0004556
